assay_type,canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAliphaticRings,NumAromaticRings
B,CCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL86079,=,=,IC50,nM,2400.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,2.4,234.34299999999993,2.5071000000000003,25.36,0,3,5,1,1
B,CCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL86079,=,=,IC50,nM,2400.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,2.4,234.34299999999993,2.5071000000000003,25.36,0,3,5,1,1
F,CCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL86079,=,=,IC50,nM,3200.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,3.2,234.34299999999993,2.5071000000000003,25.36,0,3,5,1,1
F,CCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL86079,=,=,IC50,nM,3200.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,3.2,234.34299999999993,2.5071000000000003,25.36,0,3,5,1,1
B,CCCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL312964,=,=,IC50,nM,640.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,0.64,248.36999999999995,2.8972000000000016,25.36,0,3,6,1,1
B,CCCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL312964,=,=,IC50,nM,640.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,0.64,248.36999999999995,2.8972000000000016,25.36,0,3,6,1,1
F,CCCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL312964,=,=,IC50,nM,5000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,5.0,248.36999999999995,2.8972000000000016,25.36,0,3,6,1,1
F,CCCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL312964,=,=,IC50,nM,5000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,5.0,248.36999999999995,2.8972000000000016,25.36,0,3,6,1,1
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.046,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.046,208.69199999999998,2.3428999999999993,24.92,1,2,1,2,1
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.046,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.046,208.69199999999998,2.3428999999999993,24.92,1,2,1,2,1
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.046,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.046,208.69199999999998,2.3428999999999993,24.92,1,2,1,2,1
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.046,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.046,208.69199999999998,2.3428999999999993,24.92,1,2,1,2,1
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.046,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.046,208.69199999999998,2.3428999999999993,24.92,1,2,1,2,1
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.046,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.046,208.69199999999998,2.3428999999999993,24.92,1,2,1,2,1
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.046,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.046,208.69199999999998,2.3428999999999993,24.92,1,2,1,2,1
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.046,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.046,208.69199999999998,2.3428999999999993,24.92,1,2,1,2,1
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.046,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.046,208.69199999999998,2.3428999999999993,24.92,1,2,1,2,1
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.046,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.046,208.69199999999998,2.3428999999999993,24.92,1,2,1,2,1
B,OC1CC2CC(c3ccc(Cl)nc3)C(C1)N2,CHEMBL421553,=,=,Ki,nM,7.4,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,7.4,238.718,1.7038,45.150000000000006,2,3,1,2,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1,162.236,1.8483,16.130000000000003,0,2,1,1,1
