assay_type,canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value
B,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,CHEMBL133897,=,=,IC50,nM,920.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.92
B,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,CHEMBL336398,=,=,IC50,nM,900.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.9
B,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,CHEMBL131588,>,>,IC50,nM,50000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,50.0
B,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,CHEMBL130628,=,=,IC50,nM,1000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,1.0
B,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,CHEMBL130478,=,=,IC50,nM,200.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.2
B,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL130098,<,<,IC50,nM,10.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.01
B,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,CHEMBL337486,>,>,IC50,nM,50000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,50.0
B,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,CHEMBL336538,=,=,IC50,nM,410.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.41
B,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL131051,>,>,IC50,nM,50000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,50.0
B,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,CHEMBL341437,=,=,IC50,nM,4000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,4.0
B,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,CHEMBL335033,=,=,IC50,nM,130.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.13
B,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,CHEMBL338720,=,=,IC50,nM,230.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.23
B,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,CHEMBL339995,=,=,IC50,nM,370.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.37
B,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,CHEMBL335158,>,>,IC50,nM,50000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,50.0
B,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,CHEMBL106126,>,>,IC50,nM,50000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,50.0
B,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,CHEMBL130666,=,=,IC50,nM,900.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.9
B,O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,CHEMBL134061,>,>,IC50,nM,50000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,50.0
B,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,CHEMBL133388,=,=,IC50,nM,200.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.2
B,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,CHEMBL130645,=,=,IC50,nM,14000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,14.0
B,CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL336524,=,=,IC50,nM,50.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.05
B,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,CHEMBL336276,=,=,IC50,nM,300.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.3
B,CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL334395,=,=,IC50,nM,100.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.1
B,Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,CHEMBL131320,=,=,IC50,nM,460.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.46
B,COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1,CHEMBL339297,>,>,IC50,nM,50000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,50.0
B,CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,CHEMBL337714,=,=,IC50,nM,100.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,0.1
B,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1,CHEMBL130704,=,=,IC50,nM,2000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,2.0
B,COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC,CHEMBL19060,=,=,IC50,nM,6165.95,CHEMBL1914,Butyrylcholinesterase,-Log IC50,,5.21
B,CCOC(=O)N(C)CC[C@@]12C=C[C@H](O)C[C@@H]1Oc1c(OC)ccc(C=O)c12,CHEMBL75644,=,=,IC50,nM,155000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,155.0
B,COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC,CHEMBL422977,=,=,IC50,nM,3715.35,CHEMBL1914,Butyrylcholinesterase,-Log IC50,,5.43
B,CCOC(=O)N1CC[C@@]23C=C[C@H](O)C[C@@H]2Oc2c(OC)ccc(c23)C1,CHEMBL75699,=,=,IC50,nM,300000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,300.0
B,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)OC2,CHEMBL310961,=,=,IC50,nM,960000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,960.0
B,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,CHEMBL659,=,=,IC50,nM,18000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,18.0
B,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,CHEMBL11805,=,=,IC50,nM,11748.98,CHEMBL1914,Butyrylcholinesterase,-Log IC50,,4.93
B,COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC,CHEMBL302179,=,=,IC50,nM,1380.38,CHEMBL1914,Butyrylcholinesterase,-Log IC50,,5.86
B,CCOC(=O)N(C)CC[C@@]12C=C[C@H](O)C[C@@H]1Oc1c(OC)ccc(CO)c12,CHEMBL80382,=,=,IC50,nM,216000.0,CHEMBL1914,Butyrylcholinesterase,IC50,uM,216.0
B,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,CHEMBL94,=,=,IC50,nM,22.91,CHEMBL1914,Butyrylcholinesterase,-Log IC50,,7.64
B,CCC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3[C@@H](C1)C2,CHEMBL208599,=,=,Ki,nM,120.0,CHEMBL1914,Butyrylcholinesterase,Ki,nM,120.0
