assay_type,canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value
B,CCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL86079,=,=,IC50,nM,2400.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,2.4
F,CCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL86079,=,=,IC50,nM,3200.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,3.2
B,CCCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL312964,=,=,IC50,nM,640.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,0.64
F,CCCCc1cncc(OC[C@@H]2CCCN2C)c1,CHEMBL312964,=,=,IC50,nM,5000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,5.0
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.046,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.046
B,OC1CC2CC(c3ccc(Cl)nc3)C(C1)N2,CHEMBL421553,=,=,Ki,nM,7.4,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,7.4
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,9.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,9.1
B,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2,CHEMBL56564,=,=,Ki,nM,55000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,55000.0
B,O=C(OC1CN2CCC1CC2)n1ccc2ccccc21,CHEMBL320963,=,=,Ki,nM,14000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,14000.0
B,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CHEMBL46,=,=,Ki,nM,46000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,46000.0
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,2.3,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,2.3
B,O=C(OC1CN2CCC1CC2)c1c[nH]c2ccccc12,CHEMBL108799,=,=,Ki,nM,2600.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,2600.0
B,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,CHEMBL289469,=,=,Ki,nM,38000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,38000.0
B,C[N+]1(C)C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,CHEMBL111583,=,=,Ki,nM,7800.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,7800.0
F,O=C1NC[C@@]2(CN3CCC2CC3)O1,CHEMBL193016,>,>,IC50,nM,2000000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,mM,2.0
B,[N-]=[N+]=Nc1cc(C2CC3CCC2N3)cnc1Cl,CHEMBL55716,=,=,Ki,nM,0.027,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.027
F,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2,CHEMBL56564,=,=,IC50,nM,170000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,170.0
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.035,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.035
F,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CHEMBL46,=,=,IC50,nM,66000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,IC50,uM,66.0
B,NC1CCCc2ccncc21,CHEMBL119939,>,>,Ki,nM,10000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,10000.0
B,CCN(C)C1CCCc2ccncc21.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,CHEMBL1794855,=,=,Ki,nM,930.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,930.0
B,CN1CCCc2ccncc2C1,CHEMBL300184,>,>,Ki,nM,1000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,1000.0
B,c1cc2c(cn1)CCNCC2,CHEMBL52133,=,=,Ki,nM,47.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,47.0
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,1.2,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,1.2
B,CN(C)Cc1cccnc1,CHEMBL331904,=,=,Ki,nM,540.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,540.0
B,CNC1CCCc2ccncc21,CHEMBL331116,>,>,Ki,nM,10000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,10000.0
B,Clc1ccc(C2C[C@@H]3CCC2N3)cn1,CHEMBL54902,=,=,Ki,nM,0.05,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.05
B,CCCN(C)C1CCCc2ccncc21,CHEMBL123170,>,>,Ki,nM,10000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,10000.0
B,Cc1cnoc1CC1CN2CCC1CC2,CHEMBL292428,=,=,Ki,nM,3.2,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,3.2
B,Cc1cnoc1CC1CN2CCC1C2,CHEMBL55114,=,=,Ki,nM,0.3,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.3
B,c1cc2c(cn1)CNCCC2,CHEMBL292813,>,>,Ki,nM,1000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,1000.0
B,c1cc2c(cn1)C(N1CCCC1)CCC2,CHEMBL332102,>,>,Ki,nM,10000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,10000.0
B,CN(C)C1CCCc2ccncc21,CHEMBL123935,=,=,Ki,nM,330.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,330.0
B,CNCCC#Cc1cccnc1,CHEMBL54860,=,=,Ki,nM,58.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,58.0
B,CCCNC1CCCc2ccncc21,CHEMBL331398,>,>,Ki,nM,10000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,10000.0
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,2.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,2.0
B,c1cncc(OC[C@@H]2CCN2)c1,CHEMBL59986,=,=,Ki,nM,0.04,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.04
B,Clc1ccc(OC[C@H]2CCN2)cn1,CHEMBL430497,=,=,Ki,nM,0.055,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.055
B,Clc1ccc(OC[C@H]2CCN2)cn1,CHEMBL430497,=,=,Ki,nM,0.034,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.034
B,c1cncc(OC[C@@H]2CCN2)c1,CHEMBL59986,=,=,Ki,nM,0.05,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,pM,50.0
B,[N-]=[N+]=Nc1cc(Cn2ccsc2=N)cnc1Cl,CHEMBL319885,=,=,Ki,nM,0.47,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.47
B,O=[N+]([O-])Nc1nccn1Cc1ccc(Cl)nc1,CHEMBL95367,=,=,Ki,nM,470.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,470.0
B,[N-]=[N+]=Nc1cc(Cn2ccs/c2=N\[N+](=O)[O-])cnc1Cl,CHEMBL98451,=,=,Ki,nM,170.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,170.0
B,C(#Cc1cccnc1)CCN1CCCC1,CHEMBL151983,>,>,Ki,nM,10000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,10000.0
B,[N-]=[N+]=Nc1cc(CN2CCN/C2=N\[N+](=O)[O-])cnc1Cl,CHEMBL97343,=,=,Ki,nM,340.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,340.0
B,c1cncc(OCCN2CCCC2)c1,CHEMBL328429,=,=,Ki,nM,212.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,212.0
B,[N-]=[N+]=Nc1ccncc1Cn1ccsc1=N,CHEMBL96405,=,=,Ki,nM,820.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,820.0
B,CCN(C)CCOc1cccnc1,CHEMBL57912,=,=,Ki,nM,22.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,22.0
B,O=[N+]([O-])/N=c1\sccn1Cc1ccc(Cl)nc1,CHEMBL97798,=,=,Ki,nM,170.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,170.0
B,N=C1NCCN1Cc1ccc(Cl)nc1,CHEMBL309804,=,=,Ki,nM,2.2,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,2.2
B,CNC/C=C/c1cccnc1,CHEMBL150421,~,~,Ki,nM,6000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,6000.0
B,CNCC/C=C/c1cccnc1,CHEMBL132966,=,=,Ki,nM,25.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,25.0
B,[N-]=[N+]=Nc1cc(CN2CCN=C2N)cnc1Cl,CHEMBL316493,=,=,Ki,nM,2.6,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,2.6
B,[N-]=[N+]=Nc1cncc(Cn2ccnc2N[N+](=O)[O-])c1,CHEMBL97016,=,=,Ki,nM,5400.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,5400.0
B,CNCCC#Cc1cccnc1,CHEMBL54860,=,=,Ki,nM,113.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,113.0
B,CNCc1cccnc1,CHEMBL357101,>,>,Ki,nM,10000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,10000.0
B,c1cncc(CN2CCCC2)c1,CHEMBL148489,=,=,Ki,nM,30.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,30.0
B,Clc1ccc(C2CC3CCC2N3)cn1,CHEMBL6623,=,=,Ki,nM,0.01,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.01
B,[N-]=[N+]=Nc1cc(Cn2ccnc2N[N+](=O)[O-])cnc1Cl,CHEMBL95531,=,=,Ki,nM,300.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,300.0
B,CNCC#Cc1cccnc1,CHEMBL149808,=,=,Ki,nM,2285.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,2285.0
B,[N-]=[N+]=Nc1cc(CN2C=CN/C2=C\[N+](=O)[O-])cnc1Cl,CHEMBL319510,=,=,Ki,nM,40.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,40.0
B,CN(C)CCC#Cc1cccnc1,CHEMBL150893,=,=,Ki,nM,510.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,510.0
B,C[N+](C)(C)CCC#Cc1cccnc1,CHEMBL151817,=,=,Ki,nM,470.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,470.0
B,N#C/N=c1\sccn1Cc1cnc(Cl)c(N=[N+]=[N-])c1,CHEMBL95904,=,=,Ki,nM,120.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,120.0
B,N=c1sccn1Cc1ccc(Cl)nc1,CHEMBL72675,=,=,Ki,nM,0.39,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.39
B,CCN(C)CCC#Cc1cccnc1,CHEMBL150948,=,=,Ki,nM,1770.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,1770.0
B,C[N+](C)(C)Cc1cccnc1,CHEMBL348693,=,=,Ki,nM,110.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,110.0
B,CN(C)CCOc1cccnc1,CHEMBL61616,=,=,Ki,nM,21.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,21.0
B,CN(C)Cc1cccnc1,CHEMBL331904,=,=,Ki,nM,540.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,540.0
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,2.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,2.1
B,[N-]=[N+]=Nc1cc(Cl)ncc1Cn1ccnc1N[N+](=O)[O-],CHEMBL318765,=,=,Ki,nM,16900.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,16900.0
B,CCN(C)Cc1cccnc1,CHEMBL60792,=,=,Ki,nM,28.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,28.0
B,[N-]=[N+]=Nc1cncc(Cn2ccsc2=N)c1,CHEMBL317288,=,=,Ki,nM,8.3,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,8.3
B,O=[N+]([O-])/C=C1\NC=CN1Cc1ccc(Cl)nc1,CHEMBL100491,=,=,Ki,nM,60.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,60.0
B,CNCCC#Cc1ccc(Cl)nc1,CHEMBL347558,=,=,Ki,nM,154.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,154.0
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,2.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,2.0
B,CNCCOc1cccnc1,CHEMBL112221,=,=,Ki,nM,35.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,35.0
B,C[N+](C)(C)CCOc1cccnc1,CHEMBL345732,=,=,Ki,nM,0.5,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,0.5
B,[N-]=[N+]=Nc1cc(Cl)ncc1Cn1ccsc1=N,CHEMBL330079,=,=,Ki,nM,110.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,110.0
B,[N-]=[N+]=Nc1ccncc1Cn1ccnc1N[N+](=O)[O-],CHEMBL327625,=,=,Ki,nM,95800.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,95800.0
B,N#C/N=c1\sccn1Cc1ccc(Cl)nc1,CHEMBL95352,=,=,Ki,nM,120.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,120.0
B,CNCCC#Cc1ccc(OC)nc1,CHEMBL147446,>,>,Ki,nM,10000.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,10000.0
B,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,CHEMBL406819,=,=,Ki,nM,720.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,720.0
B,C[N+](C)(C)C,CHEMBL46486,=,=,Ki,nM,24.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,24.0
B,c1cncc(C2CCCCN2)c1,CHEMBL280963,=,=,Ki,nM,92.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,92.0
B,CN1CCC[C@H]1c1cccnc1,CHEMBL3,=,=,Ki,nM,4.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,4.0
B,c1cncc(C2CCN2)c1,CHEMBL323325,=,=,Ki,nM,1.1,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,Ki,nM,1.1
