assay_type,canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value
B,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,CHEMBL105060,=,=,Ki,nM,9.55,CHEMBL2327,Neurokinin 2 receptor,Log Ki,,-8.02
B,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,CHEMBL119126,=,=,Ki,nM,457.09,CHEMBL2327,Neurokinin 2 receptor,Log Ki,,-6.34
B,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,CHEMBL332793,=,=,Ki,nM,102.33,CHEMBL2327,Neurokinin 2 receptor,Log Ki,,-6.99
B,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H](/C=C/C(=O)N[C@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,CHEMBL115633,=,=,Ki,nM,181.97,CHEMBL2327,Neurokinin 2 receptor,Log Ki,,-6.74
B,CC(O)C1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL56274,=,=,Ki,nM,33.5,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,33.5
B,CCC(O)(CC)C1CCN(CC[C@H](CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL2115073,=,=,Ki,nM,0.84,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,0.84
B,CCC(O)(CC)C1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL56481,=,=,Ki,nM,3.5,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,3.5
B,CC/C(=N\OC)C1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL58638,=,=,Ki,nM,6.5,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,6.5
B,CC(=O)NC1(c2ccccc2)CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL56835,=,=,Ki,nM,1.75,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,1.75
B,CC(=O)NC1(c2ccccc2)CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL56835,=,=,Ki,nM,0.6,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,0.6
B,CC/C(=N\O)C1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL443264,=,=,Ki,nM,1.3,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,1.3
B,CC(=O)OCCC1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL57589,=,=,Ki,nM,40.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,40.0
B,CCC(O)C1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL56739,=,=,Ki,nM,13.1,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,13.1
B,CCCC(O)(CCC)C1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL56143,=,=,Ki,nM,4.7,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,4.7
B,CCCC1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL59542,=,=,Ki,nM,9.9,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,9.9
B,CCCC(O)C1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL56788,=,=,Ki,nM,3.7,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,3.7
B,CCC(=NO)C1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL2115072,=,=,Ki,nM,2.7,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,2.7
B,CC/C(=N/O)C1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL2111522,=,=,Ki,nM,2.1,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,2.1
B,CN(CC(CCN1CCC(CO)CC1)c1ccc(Cl)c(Cl)c1)C(=O)c1ccccc1,CHEMBL57224,=,=,Ki,nM,142.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,142.0
B,CC(=O)NCCC1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL58331,=,=,Ki,nM,66.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,66.0
B,CN(CC(CCN1CCC(CCO)CC1)c1ccc(Cl)c(Cl)c1)C(=O)c1ccccc1,CHEMBL292415,=,=,Ki,nM,47.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,47.0
B,CN(CC(CCN1CCC(C(C)(C)O)CC1)c1ccc(Cl)c(Cl)c1)C(=O)c1ccccc1,CHEMBL301437,=,=,Ki,nM,7.7,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,7.7
B,CCC(=O)C1CCN(CCC(CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL417940,=,=,Ki,nM,9.2,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,9.2
B,NC(=O)CN[C@@H](COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H](CCN1CCC(O)(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1,CHEMBL405129,=,=,Ki,nM,34.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,34.0
B,NC(=O)CNC(COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(CCN1CCC(O)(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1,CHEMBL407749,=,=,Ki,nM,34.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,34.0
B,O/N=C(\COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(CCN1CCC(O)(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1,CHEMBL293432,=,=,Ki,nM,122.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,122.0
B,CC(=O)NC1(c2ccccc2)CCN(CC[C@H](CN(C)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,CHEMBL308148,=,=,Ki,nM,0.5,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,0.5
B,CO/N=C(\COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(CCN1CCC(O)(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1,CHEMBL309087,=,=,Ki,nM,21.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,21.0
B,CO/N=C(\COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H](CCN1CCC(O)(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1,CHEMBL72930,=,=,Ki,nM,7.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,7.0
B,O/N=C(/COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(CCN1CCC(O)(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1,CHEMBL76334,=,=,Ki,nM,358.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,358.0
B,CO/N=C(\COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](CCN1CCC(O)(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1,CHEMBL311387,=,=,Ki,nM,397.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,397.0
B,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)NC1CCCCCC1)Cc1ccc(Cl)cc1,CHEMBL105009,=,=,IC50,nM,203.0,CHEMBL2327,Neurokinin 2 receptor,IC50,nM,203.0
B,COc1ccc(CC2NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)CNC2=O)cc1,CHEMBL2370511,=,=,Ki,nM,73000.0,CHEMBL2327,Neurokinin 2 receptor,Ki,uM,73.0
B,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,CHEMBL10188,=,=,Ki,nM,144.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,144.0
B,CC(C)[C@@H]1NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)[C@H](Cc2ccc(OC(C)(C)C)cc2)NC(=O)CNC1=O,CHEMBL2111789,=,=,Ki,nM,31000.0,CHEMBL2327,Neurokinin 2 receptor,Ki,uM,31.0
B,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)NC1(C(N)=O)CCCCC1)Cc1ccc(Cl)cc1,CHEMBL105600,=,=,IC50,nM,66.0,CHEMBL2327,Neurokinin 2 receptor,IC50,nM,66.0
B,CC(C)=CCc1cc(C(O)C2NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)CNC2=O)ccc1O,CHEMBL2370507,=,=,Ki,nM,3800.0,CHEMBL2327,Neurokinin 2 receptor,Ki,uM,3.8
B,COc1ccc(C(O)C2NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)CNC2=O)cc1CC=C(C)C,CHEMBL2370513,=,=,Ki,nM,1600.0,CHEMBL2327,Neurokinin 2 receptor,Ki,uM,1.6
B,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1cn(C)c2ccccc12,CHEMBL317632,=,=,IC50,nM,24.0,CHEMBL2327,Neurokinin 2 receptor,IC50,nM,24.0
B,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N(CCC(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,CHEMBL318606,=,=,IC50,nM,5.5,CHEMBL2327,Neurokinin 2 receptor,IC50,nM,5.5
B,CC(C)[C@@H]1NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)C(C(O)c2ccc(O)cc2)NC(=O)CNC1=O,CHEMBL2370508,>,>,Ki,nM,100000.0,CHEMBL2327,Neurokinin 2 receptor,Ki,uM,100.0
B,COC(=O)[C@@H](NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1,CHEMBL9643,=,=,Ki,nM,1221.0,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,1221.0
B,CC(=O)N(C)C1(c2ccccc2)CCN(CCC[C@]2(c3ccc(Cl)c(Cl)c3)CCCN(C(=O)c3ccccc3)C2)CC1,CHEMBL346178,=,=,Ki,nM,40.3,CHEMBL2327,Neurokinin 2 receptor,Ki,nM,40.3
B,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc2ccccc2c1,CHEMBL103979,=,=,IC50,nM,60.0,CHEMBL2327,Neurokinin 2 receptor,IC50,nM,60.0
B,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1cc(Cl)c(Cl)s1,CHEMBL104708,=,=,IC50,nM,17.0,CHEMBL2327,Neurokinin 2 receptor,IC50,nM,17.0
B,CC(C)[C@@H]1NC(=O)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CNC1=O,CHEMBL2370516,>,>,Ki,nM,100000.0,CHEMBL2327,Neurokinin 2 receptor,Ki,uM,100.0
B,COc1ccc(C(O)C2NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)CNC2=O)cc1,CHEMBL2370509,=,=,Ki,nM,33000.0,CHEMBL2327,Neurokinin 2 receptor,Ki,uM,33.0
B,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1cc(Br)c(Br)s1,CHEMBL102376,=,=,IC50,nM,26.0,CHEMBL2327,Neurokinin 2 receptor,IC50,nM,26.0
B,CCC(C)Cc1cc(C(O)C2NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)CNC2=O)ccc1OC,CHEMBL2370510,=,=,Ki,nM,2400.0,CHEMBL2327,Neurokinin 2 receptor,Ki,uM,2.4
