assay_type,canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value
B,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,CHEMBL133897,=,=,IC50,nM,750.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.75
B,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,CHEMBL336398,=,=,IC50,nM,100.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.1
B,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,CHEMBL131588,>,>,IC50,nM,50000.0,CHEMBL220,Acetylcholinesterase,IC50,uM,50.0
B,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,CHEMBL130628,=,=,IC50,nM,300.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.3
B,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,CHEMBL130478,=,=,IC50,nM,800.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.8
B,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL130112,=,=,IC50,nM,2400.0,CHEMBL220,Acetylcholinesterase,IC50,uM,2.4
B,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,CHEMBL130098,=,=,IC50,nM,100.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.1
B,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,CHEMBL337486,>,>,IC50,nM,50000.0,CHEMBL220,Acetylcholinesterase,IC50,uM,50.0
B,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,CHEMBL336538,=,=,IC50,nM,800.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.8
B,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL131051,>,>,IC50,nM,50000.0,CHEMBL220,Acetylcholinesterase,IC50,uM,50.0
B,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,CHEMBL341437,>,>,IC50,nM,50000.0,CHEMBL220,Acetylcholinesterase,IC50,uM,50.0
B,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,CHEMBL335033,=,=,IC50,nM,50.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.05
B,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,CHEMBL122983,>,>,IC50,nM,100000.0,CHEMBL220,Acetylcholinesterase,IC50,uM,100.0
B,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,CHEMBL338720,=,=,IC50,nM,560.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.56
B,CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,CHEMBL339995,<,<,IC50,nM,10.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.01
B,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,CHEMBL335158,<,<,IC50,nM,10.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.01
B,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL131536,=,=,IC50,nM,1400.0,CHEMBL220,Acetylcholinesterase,IC50,uM,1.4
B,Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,CHEMBL106126,=,=,IC50,nM,17000.0,CHEMBL220,Acetylcholinesterase,IC50,uM,17.0
B,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL334971,=,=,IC50,nM,1100.0,CHEMBL220,Acetylcholinesterase,IC50,uM,1.1
B,CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL336625,>,>,IC50,nM,50000.0,CHEMBL220,Acetylcholinesterase,IC50,uM,50.0
B,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,CHEMBL130666,=,=,IC50,nM,26.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.026
B,O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,CHEMBL134061,>,>,IC50,nM,50000.0,CHEMBL220,Acetylcholinesterase,IC50,uM,50.0
B,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,CHEMBL133388,=,=,IC50,nM,800.0,CHEMBL220,Acetylcholinesterase,IC50,uM,0.8
B,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,CHEMBL130645,>,>,IC50,nM,50000.0,CHEMBL220,Acetylcholinesterase,IC50,uM,50.0
B,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,CHEMBL133580,>,>,IC50,nM,50000.0,CHEMBL220,Acetylcholinesterase,IC50,uM,50.0
